"","MonthDay","2021"
"1","1-1",1062
"2","1-2",1062
"3","1-3",1062
"4","1-4",1076
"5","1-5",1079
"6","1-6",1090
"7","1-7",1141
"8","1-8",1140
"9","1-9",1140
"10","1-10",1140
"11","1-11",1132
"12","1-12",1142
"13","1-13",1159
"14","1-14",1181
"15","1-15",1193
"16","1-16",1193
"17","1-17",1193
"18","1-18",1193
"19","1-19",1221
"20","1-20",1269
"21","1-21",1265
"22","1-22",1240
"23","1-23",1240
"24","1-24",1240
"25","1-25",1232
"26","1-26",1238
"27","1-27",1242
"28","1-28",1248
"29","1-29",1273
"30","1-30",1273
"31","1-31",1273
"32","2-1",1245
"33","2-2",1230
"34","2-3",1179
"35","2-4",1153
"36","2-5",1091
"37","2-6",1091
"38","2-7",1091
"39","2-8",1190
"40","2-9",1263
"41","2-10",1233
"42","2-11",1213
"43","2-12",1215
"44","2-13",1215
"45","2-14",1215
"46","2-15",1215
"47","2-16",1227
"48","2-17",1226
"49","2-18",1206
"50","2-19",1219
"51","2-20",1219
"52","2-21",1219
"53","2-22",1209
"54","2-23",1209
"55","2-24",1200
"56","2-25",1209
"57","2-26",1226
"58","2-27",1226
"59","2-28",1226
"61","3-1",1234
"62","3-2",1258
"63","3-3",1290
"64","3-4",1333
"65","3-5",1349
"66","3-6",1349
"67","3-7",1349
"68","3-8",1369
"69","3-9",1365
"70","3-10",1340
"71","3-11",1305
"72","3-12",1315
"73","3-13",1315
"74","3-14",1315
"75","3-15",1274
"76","3-16",1227
"77","3-17",1214
"78","3-18",1212
"79","3-19",1198
"80","3-20",1198
"81","3-21",1198
"82","3-22",1201
"83","3-23",1220
"84","3-24",1226
"85","3-25",1226
"86","3-26",1221
"87","3-27",1221
"88","3-28",1221
"89","3-29",1209
"90","3-30",1218
"91","3-31",1201
"92","4-1",1180
"93","4-2",1180
"94","4-3",1180
"95","4-4",1180
"96","4-5",1171
"97","4-6",1154
"98","4-7",1153
"99","4-8",1168
"100","4-9",1169
"101","4-10",1169
"102","4-11",1169
"103","4-12",824
"104","4-13",835
"105","4-14",847
"106","4-15",861
"107","4-16",841
"108","4-17",841
"109","4-18",841
"110","4-19",815
"111","4-20",818
"112","4-21",808
"113","4-22",785
"114","4-23",760
"115","4-24",760
"116","4-25",760
"117","4-26",779
"118","4-27",771
"119","4-28",770
"120","4-29",765
"121","4-30",764
"122","5-1",764
"123","5-2",764
"124","5-3",771
"125","5-4",777
"126","5-5",769
"127","5-6",721
"128","5-7",734
"129","5-8",734
"130","5-9",734
"131","5-10",747
"132","5-11",760
"133","5-12",764
"134","5-13",742
"135","5-14",735
"136","5-15",735
"137","5-16",735
"138","5-17",717
"139","5-18",716
"140","5-19",722
"141","5-20",714
"142","5-21",714
"143","5-22",714
"144","5-23",714
"145","5-24",714
"146","5-25",716
"147","5-26",715
"148","5-27",726
"149","5-28",730
"150","5-29",730
"151","5-30",730
"152","5-31",730
"153","6-1",718
"154","6-2",716
"155","6-3",725
"156","6-4",733
"157","6-5",733
"158","6-6",733
"159","6-7",734
"160","6-8",735
"161","6-9",743
"162","6-10",734
"163","6-11",748
"164","6-12",748
"165","6-13",748
"166","6-14",768
"167","6-15",778
"168","6-16",768
"169","6-17",777
"170","6-18",796
"171","6-19",796
"172","6-20",796
"173","6-21",799
"174","6-22",804
"175","6-23",761
"176","6-24",757
"177","6-25",749
"178","6-26",749
"179","6-27",749
"180","6-28",776
"181","6-29",776
"182","6-30",776
"183","7-1",759
"184","7-2",757
"185","7-3",757
"186","7-4",757
"187","7-5",757
"188","7-6",767
"189","7-7",762
"190","7-8",774
"191","7-9",768
"192","7-10",768
"193","7-11",768
"194","7-12",767
"195","7-13",764
"196","7-14",773
"197","7-15",785
"198","7-16",782
"199","7-17",782
"200","7-18",782
"201","7-19",808
"202","7-20",798
"203","7-21",781
"204","7-22",784
"205","7-23",779
"206","7-24",779
"207","7-25",779
"208","7-26",783
"209","7-27",790
"210","7-28",801
"211","7-29",790
"212","7-30",790
"213","7-31",790
"214","8-1",790
"215","8-2",795
"216","8-3",795
"217","8-4",793
"218","8-5",789
"219","8-6",782
"220","8-7",782
"221","8-8",782
"222","8-9",791
"223","8-10",792
"224","8-11",798
"225","8-12",788
"226","8-13",797
"227","8-14",797
"228","8-15",797
"229","8-16",806
"230","8-17",818
"231","8-18",818
"232","8-19",823
"233","8-20",821
"234","8-21",821
"235","8-22",821
"236","8-23",807
"237","8-24",788
"238","8-25",774
"239","8-26",775
"240","8-27",775
"241","8-28",775
"242","8-29",775
"243","8-30",761
"244","8-31",751
"245","9-1",749
"246","9-2",765
"247","9-3",768
"248","9-4",768
"249","9-5",768
"250","9-6",768
"251","9-7",762
"252","9-8",770
"253","9-9",773
"254","9-10",771
"255","9-11",771
"256","9-12",771
"257","9-13",780
"258","9-14",787
"259","9-15",787
"260","9-16",805
"261","9-17",796
"262","9-18",796
"263","9-19",796
"264","9-20",826
"265","9-21",827
"266","9-22",825
"267","9-23",837
"268","9-24",838
"269","9-25",838
"270","9-26",838
"271","9-27",838
"272","9-28",837
"273","9-29",823
"274","9-30",835
"275","10-1",859
"276","10-2",859
"277","10-3",859
"278","10-4",865
"279","10-5",833
"280","10-6",816
"281","10-7",811
"282","10-8",816
"283","10-9",816
"284","10-10",816
"285","10-11",816
"286","10-12",826
"287","10-13",826
"288","10-14",810
"289","10-15",795
"290","10-16",795
"291","10-17",795
"292","10-18",802
"293","10-19",799
"294","10-20",815
"295","10-21",839
"296","10-22",815
"297","10-23",815
"298","10-24",815
"299","10-25",824
"300","10-26",827
"301","10-27",846
"302","10-28",837
"303","10-29",847
"304","10-30",847
"305","10-31",847
"306","11-1",854
"307","11-2",854
"308","11-3",848
"309","11-4",847
"310","11-5",852
"311","11-6",852
"312","11-7",852
"313","11-8",841
"314","11-9",844
"315","11-10",834
"316","11-11",834
"317","11-12",818
"318","11-13",818
"319","11-14",818
"320","11-15",805
"321","11-16",806
"322","11-17",803
"323","11-18",799
"324","11-19",796
"325","11-20",796
"326","11-21",796
"327","11-22",807
"328","11-23",815
"329","11-24",823
"330","11-25",823
"331","11-26",880
"332","11-27",880
"333","11-28",880
"334","11-29",849
"335","11-30",891
"336","12-1",882
"337","12-2",877
"338","12-3",888
"339","12-4",888
"340","12-5",888
"341","12-6",879
"342","12-7",847
"343","12-8",837
"344","12-9",830
"345","12-10",835
"346","12-11",835
"347","12-12",835
"348","12-13",843
"349","12-14",849
"350","12-15",865
"351","12-16",873
"352","12-17",871
"353","12-18",871
"354","12-19",871
"355","12-20",895
"356","12-21",880
"357","12-22",877
"358","12-23",876
"359","12-24",876
"360","12-25",876
"361","12-26",876
"362","12-27",877
"363","12-28",874
"364","12-29",867
"365","12-30",871
"366","12-31",869
